"date","center_name","주문(취소제외)"
"2025-05-04","일산점",7757
"2025-05-04","전주점",3994
"2025-05-04","중구명동점",5542
"2025-05-04","중랑면목점",8650
"2025-05-04","창원점",3512
"2025-05-04","천안점",10235
"2025-05-04","청주상당점",5517
"2025-05-04","청주흥덕점",6539
"2025-05-04","춘천점",3010
"2025-05-04","파주점",6037
"2025-05-04","평택고덕점",3848
"2025-05-04","평택점",8959
"2025-05-04","하남점",6109
"2025-05-05","강남논현점",9247
"2025-05-05","강남압구정점",4598
"2025-05-05","강남양재점",9846
"2025-05-05","강동천호점",10642
"2025-05-05","강북미아점",10514
"2025-05-05","강서가양점",10461
"2025-05-05","강서화곡점",14429
"2025-05-05","고양점",4562
"2025-05-05","관악신림점",13469
"2025-05-05","광진자양점",11522
"2025-05-05","구로신도림점",7557
"2025-05-05","구리점",6723
"2025-05-05","군포점",4484
"2025-05-05","금천독산점",9437
"2025-05-05","김포점",7233
"2025-05-05","김해점",3220
"2025-05-05","노원중계점",8696
"2025-05-05","대구달서점",7556
"2025-05-05","대구북구점",3854
"2025-05-05","대구수성점",5729
"2025-05-05","대구중구점",5074
"2025-05-05","대전서구점",9626
"2025-05-05","대전유성점",4788
"2025-05-05","대전중구점",7791
"2025-05-05","도봉쌍문점",11842
"2025-05-05","동대문제기점",11333
"2025-05-05","동작상도점",7689
"2025-05-05","동탄점",9502
"2025-05-05","마포상암점",6940
"2025-05-05","부산남구점",5341
"2025-05-05","부산동래점",7026
"2025-05-05","부산사하점",4365
"2025-05-05","부산진구점",8521
"2025-05-05","부산해운대점",3926
"2025-05-05","부천점",12332
"2025-05-05","분당점",10094
"2025-05-05","서대문신촌점",18519
"2025-05-05","서초교대점",5969
"2025-05-05","서초내방점",7999
"2025-05-05","서초반포점",5344
"2025-05-05","성남점",9824
"2025-05-05","성동옥수점",7991
"2025-05-05","송파문정점",6790
"2025-05-05","송파신천점",4688
"2025-05-05","송파잠실점",6496
"2025-05-05","수원광교점",6159
"2025-05-05","수원권선점",5498
"2025-05-05","수원인계점",11356
"2025-05-05","시흥점",6722
"2025-05-05","안산점",11416
"2025-05-05","안양점",9453
"2025-05-05","영등포신길점",10674
"2025-05-05","오산점",6581
"2025-05-05","용산한남점",8279
"2025-05-05","용인점",8403
"2025-05-05","울산남구점",5656
"2025-05-05","원주점",7813
"2025-05-05","은평점",10244
"2025-05-05","의정부점",8868
"2025-05-05","인천검단점",3598
"2025-05-05","인천남부점",11507
"2025-05-05","인천부평점",14002
"2025-05-05","인천연수점",7947
"2025-05-05","인천용현점",6021
"2025-05-05","인천청라점",7676
"2025-05-05","일산점",8485
"2025-05-05","전주점",4371
"2025-05-05","중구명동점",4912
"2025-05-05","중랑면목점",9821
"2025-05-05","창원점",4026
"2025-05-05","천안점",10442
"2025-05-05","청주상당점",6227
"2025-05-05","청주흥덕점",6644
"2025-05-05","춘천점",3170
"2025-05-05","파주점",6771
"2025-05-05","평택고덕점",3641
"2025-05-05","평택점",9457
"2025-05-05","하남점",7323
"2025-05-06","강남논현점",8993
"2025-05-06","강남압구정점",4375
"2025-05-06","강남양재점",9377
"2025-05-06","강동천호점",10033
"2025-05-06","강북미아점",10443
"2025-05-06","강서가양점",11425
"2025-05-06","강서화곡점",14946
"2025-05-06","고양점",4041
"2025-05-06","관악신림점",13537
"2025-05-06","광진자양점",11232
"2025-05-06","구로신도림점",7500
"2025-05-06","구리점",6492
"2025-05-06","군포점",4620
"2025-05-06","금천독산점",9178
"2025-05-06","김포점",6663
"2025-05-06","김해점",3674
"2025-05-06","노원중계점",8756
"2025-05-06","대구달서점",7885
"2025-05-06","대구북구점",3678
"2025-05-06","대구수성점",6540
"2025-05-06","대구중구점",5726
"2025-05-06","대전서구점",10270
"2025-05-06","대전유성점",5585
"2025-05-06","대전중구점",7847
"2025-05-06","도봉쌍문점",11542
"2025-05-06","동대문제기점",11784
"2025-05-06","동작상도점",7561
"2025-05-06","동탄점",9771
"2025-05-06","마포상암점",7303
"2025-05-06","부산남구점",5511
"2025-05-06","부산동래점",7621
"2025-05-06","부산사하점",4717
"2025-05-06","부산진구점",8973
"2025-05-06","부산해운대점",4168
"2025-05-06","부천점",11807
"2025-05-06","분당점",10599
"2025-05-06","서대문신촌점",18850
"2025-05-06","서초교대점",6176
"2025-05-06","서초내방점",8566
"2025-05-06","서초반포점",5775
"2025-05-06","성남점",10900
"2025-05-06","성동옥수점",7887
"2025-05-06","송파문정점",7287
"2025-05-06","송파신천점",4921
"2025-05-06","송파잠실점",7172
"2025-05-06","수원광교점",5870
"2025-05-06","수원권선점",5546
"2025-05-06","수원인계점",11839
"2025-05-06","시흥점",6782
"2025-05-06","안산점",11685
"2025-05-06","안양점",9228
"2025-05-06","영등포신길점",11568
"2025-05-06","오산점",6319
"2025-05-06","용산한남점",7598
"2025-05-06","용인점",8748
"2025-05-06","울산남구점",5975
"2025-05-06","원주점",8084
"2025-05-06","은평점",9702
"2025-05-06","의정부점",8968
"2025-05-06","인천검단점",3705
"2025-05-06","인천남부점",11760
"2025-05-06","인천부평점",14252
"2025-05-06","인천연수점",7949
"2025-05-06","인천용현점",5612
"2025-05-06","인천청라점",7684
"2025-05-06","일산점",8471
"2025-05-06","전주점",4972
"2025-05-06","중구명동점",5571
"2025-05-06","중랑면목점",9953
"2025-05-06","창원점",3918
"2025-05-06","천안점",11350
"2025-05-06","청주상당점",6793
"2025-05-06","청주흥덕점",6673
"2025-05-06","춘천점",3790
"2025-05-06","파주점",6552
"2025-05-06","평택고덕점",3729
"2025-05-06","평택점",10343
"2025-05-06","하남점",7323
"2025-05-07","강남논현점",7313
"2025-05-07","강남압구정점",4167
"2025-05-07","강남양재점",7987
"2025-05-07","강동천호점",7156
"2025-05-07","강북미아점",8554
"2025-05-07","강서가양점",7630
"2025-05-07","강서화곡점",11026
"2025-05-07","고양점",3307
"2025-05-07","관악신림점",9131
"2025-05-07","광진자양점",8706
"2025-05-07","구로신도림점",5509
"2025-05-07","구리점",5291
"2025-05-07","군포점",3377
"2025-05-07","금천독산점",6424
"2025-05-07","김포점",5414
"2025-05-07","김해점",3024
"2025-05-07","노원중계점",6603
"2025-05-07","대구달서점",6361
"2025-05-07","대구북구점",2990
"2025-05-07","대구수성점",4964
"2025-05-07","대구중구점",4324
"2025-05-07","대전서구점",7704
"2025-05-07","대전유성점",4036
