"운영일","PPC","hash","SKU","UNIT","SKU당 피킹시간","UNIT당 피킹시간","주차","월","년"
"2025-05-07","평택고덕점","DJHxXzYz",490,670.0,"0.34",0.25144776119402984,19,5,2025
"2025-05-07","관악신림점","dkzTF3L3",248,380.0,"0.28",0.18163157894736842,19,5,2025
"2025-05-07","인천남부점","lwAuRKTc",488,730.0,"0.29",0.19452054794520549,19,5,2025
"2025-05-07","청주상당점","XPfTUCmh",268,388.0,"0.31",0.21670103092783505,19,5,2025
"2025-05-07","강서화곡점","9sdWljN3",464,720.0,"0.42",0.2687777777777778,19,5,2025
"2025-05-07","광진자양점","A9PVJo3Y",593,967.0,"0.31",0.18886246122026887,19,5,2025
"2025-05-07","노원중계점","4MhYD1bS",674,988.0,"0.31",0.21473684210526314,19,5,2025
"2025-05-07","영등포신길점","N2Hnhdwo",367,538.0,"0.34",0.2336617100371747,19,5,2025
"2025-05-07","중랑면목점","jp47jcIm",140,200.0,"0.36",0.25075,19,5,2025
"2025-05-07","청주흥덕점","XcW4zl6r",413,613.0,"0.27",0.1831973898858075,19,5,2025
"2025-05-07","수원권선점","f3Ya4NGE",281,430.0,"0.26",0.1678372093023256,19,5,2025
"2025-05-07","금천독산점","XvGJou92",224,298.0,"0.30",0.22798657718120804,19,5,2025
"2025-05-07","의정부점","9l8v01wF",455,668.0,"0.34",0.2324700598802395,19,5,2025
"2025-05-07","서대문신촌점","HmAPZh67",396,589.0,"0.33",0.2223769100169779,19,5,2025
"2025-05-07","부산동래점","dZKbNZzb",116,160.0,"0.23",0.1648125,19,5,2025
"2025-05-07","광진자양점","cB56oT0Z",277,446.0,"0.38",0.2390134529147982,19,5,2025
"2025-05-07","파주점","gCIMfYVh",702,1059.0,"0.23",0.15060434372049103,19,5,2025
"2025-05-07","송파신천점","Hd45Hzo8",168,253.0,"0.29",0.19059288537549407,19,5,2025
"2025-05-07","시흥점","elKmRsTI",609,889.0,"0.24",0.16779527559055116,19,5,2025
"2025-05-07","동대문제기점","E4nJmwkX",491,712.0,"0.27",0.18683988764044945,19,5,2025
"2025-05-07","노원중계점","njZt6gyt",267,374.0,"0.27",0.1932620320855615,19,5,2025
"2025-05-07","평택점","iga75iqI",39,61.0,"0.29",0.1822950819672131,19,5,2025
"2025-05-07","전주점","u7nYbsPW",190,235.0,"0.29",0.23140425531914896,19,5,2025
"2025-05-07","부산진구점","st761yKf",256,400.0,"0.25",0.1588,19,5,2025
"2025-05-07","중랑면목점","Q2i65a8y",398,565.0,"0.35",0.24499115044247785,19,5,2025
"2025-05-07","용인점","8bv0SX8p",529,738.0,"0.39",0.2795528455284553,19,5,2025
"2025-05-07","고양점","RWQrpljq",663,1001.0,"0.23",0.15385614385614385,19,5,2025
"2025-05-07","동작상도점","1w0BbwYm",841,1219.0,"0.20",0.13543888433141918,19,5,2025
"2025-05-07","강남양재점","eFjTVcO0",292,512.0,"0.43",0.2480078125,19,5,2025
"2025-05-07","성동옥수점","vKfgiXb7",223,354.0,"0.29",0.18372881355932205,19,5,2025
"2025-05-07","인천부평점","WpuMxrnx",587,877.0,"0.39",0.26115165336374,19,5,2025
"2025-05-07","평택점","PmM1ZlZH",395,568.0,"0.59",0.40688380281690145,19,5,2025
"2025-05-07","구리점","ZyaLxQck",553,793.0,"0.73",0.5113871374527111,19,5,2025
"2025-05-07","대전서구점","eJM2rA8t",338,464.0,"0.37",0.2707327586206897,19,5,2025
"2025-05-07","강서가양점","zs4qjGt5",642,895.0,"0.25",0.17921787709497208,19,5,2025
"2025-05-07","동대문제기점","69BlHiX5",505,756.0,"0.28",0.18822751322751324,19,5,2025
"2025-05-07","영등포신길점","Ykvv1uU9",338,464.0,"0.25",0.1841594827586207,19,5,2025
"2025-05-07","대구수성점","rTqxw3kJ",83,125.0,"0.29",0.19536,19,5,2025
"2025-05-07","대구수성점","CvXlybM7",640,917.0,"0.29",0.20154852780806978,19,5,2025
"2025-05-07","인천부평점","bQ1h4ASe",284,448.0,"0.32",0.20258928571428572,19,5,2025
"2025-05-07","관악신림점","3SOrjHCa",277,414.0,"0.33",0.22009661835748792,19,5,2025
"2025-05-07","강서가양점","ohrervLd",48,82.0,"0.34",0.19914634146341462,19,5,2025
"2025-05-07","인천용현점","SdXdeJUz",150,250.0,"0.27",0.16108,19,5,2025
"2025-05-07","은평점","tpaGtk5E",478,682.0,"0.43",0.3013343108504399,19,5,2025
"2025-05-07","노원중계점","4BAmlIyB",309,458.0,"0.36",0.24329694323144108,19,5,2025
"2025-05-07","강북미아점","ajXkGKnz",557,817.0,"0.28",0.19277845777233782,19,5,2025
"2025-05-07","관악신림점","gYzYd9bg",311,470.0,"0.30",0.1978936170212766,19,5,2025
"2025-05-07","수원인계점","bteP2HlY",314,481.0,"0.71",0.46536382536382537,19,5,2025
"2025-05-07","인천남부점","X8ymuODB",478,665.0,"0.36",0.2552330827067669,19,5,2025
"2025-05-07","원주점","fTpjt3KG",218,380.0,"0.28",0.16310526315789473,19,5,2025
"2025-05-07","은평점","NbuVSyAk",502,758.0,"0.32",0.21432717678100266,19,5,2025
"2025-05-07","도봉쌍문점","3ALI9maU",405,624.0,"0.29",0.18955128205128205,19,5,2025
"2025-05-07","강동천호점","l0GA9bv2",595,877.0,"0.28",0.18678449258836943,19,5,2025
"2025-05-07","광진자양점","wtLKIz5f",328,487.0,"0.34",0.2282340862422998,19,5,2025
"2025-05-07","의정부점","2gqKeizd",548,841.0,"0.21",0.13486325802615934,19,5,2025
"2025-05-07","시흥점","ckNZrR4A",552,780.0,"0.28",0.19592307692307692,19,5,2025
"2025-05-07","서초반포점","NlEt4Ts6",95,141.0,"0.20",0.13588652482269503,19,5,2025
"2025-05-07","서초내방점","eE4MTYSo",23,42.0,"0.25",0.13642857142857143,19,5,2025
"2025-05-07","수원인계점","DzarzHJF",14,20.0,"0.71",0.4995,19,5,2025
"2025-05-07","성남점","6AvO8Cxj",389,517.0,"0.32",0.2441779497098646,19,5,2025
"2025-05-07","춘천점","N35Dy6Rj",155,231.0,"0.38",0.25177489177489176,19,5,2025
"2025-05-07","강남압구정점","43S3WrK3",241,398.0,"0.35",0.21115577889447237,19,5,2025
"2025-05-07","송파잠실점","ilkYnhIS",674,984.0,"0.53",0.36532520325203255,19,5,2025
"2025-05-07","관악신림점","hLhnqkBU",455,688.0,"0.28",0.18235465116279068,19,5,2025
"2025-05-07","수원인계점","NCL2Dxlc",108,166.0,"0.23",0.14680722891566267,19,5,2025
"2025-05-07","노원중계점","CwSi5jis",141,186.0,"0.34",0.2601612903225807,19,5,2025
