"일자","시간","FC명","작업자","입고 시간","진열 시간","입고진열 시간","입고지원 시간","총 입고시간","피킹대기 시간","피킹 시간","패킹 시간","총 피패킹 시간","지원 시간","휴게 시간","매뉴얼_미작업","오토_미작업","총 합계시간"
"2025-05-08","00","수원인계점","wUpqY0vt","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68.3","0.0","0.0","0.0","68.3"
"2025-05-08","00","부천점","vqdeN3Np","0.0","0.0","40.4","0.0","40.4","1.3","3.6","1.1","6.0","13.1","0.0","0.3","0.0","59.8"
"2025-05-08","00","강서가양점","aowZsCF0","0.0","0.0","58.1","7.0","65.1","0.0","0.0","0.0","0.0","1.8","0.0","0.1","0.0","67.0"
"2025-05-08","00","구리점","ys2UW06m","0.0","0.0","0.0","0.0","0.0","10.2","0.0","0.0","10.2","0.0","0.0","0.0","2.7","12.9"
"2025-05-08","00","도봉쌍문점","yI02DpwE","0.0","0.0","65.2","0.0","65.2","0.0","0.0","0.0","0.0","1.2","0.0","0.0","0.0","66.4"
"2025-05-08","00","강북미아점","Bqv2jwAZ","0.0","0.0","50.0","0.0","50.0","10.9","2.9","1.9","15.7","1.3","0.0","0.0","1.0","68.0"
"2025-05-08","00","강서화곡점","o8NlEtTO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","춘천점","YgX22A0z","0.0","0.0","0.0","0.0","0.0","1.4","0.0","2.2","3.6","0.0","0.0","0.0","0.0","3.6"
"2025-05-08","00","용산한남점","lsORkrVs","0.0","0.0","0.0","0.0","0.0","0.6","0.5","1.0","2.1","0.2","0.0","0.0","0.0","2.3"
"2025-05-08","00","인천남부점","ETHJuUkl","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","0.0","0.0","0.0","1.3"
"2025-05-08","00","관악신림점","3SOrjHCa","0.0","0.0","0.0","0.0","0.0","2.2","4.4","5.1","11.7","0.0","0.0","3.1","0.0","14.8"
