"date","name","hash","split_order_id","sku_code","prev_dt","dt","diff_seconds"
"2025-05-10","부천점","km65htJ1","166382944","A20002338","2025-05-10 09:36:42","2025-05-10 09:36:52",10
"2025-05-10","부천점","km65htJ1","166382944","A20001709","2025-05-10 09:36:52","2025-05-10 09:37:01",8
"2025-05-10","부천점","km65htJ1","166382944","A20000183","2025-05-10 09:37:01","2025-05-10 09:37:05",4
"2025-05-10","부천점","km65htJ1","166382944","A21011896","2025-05-10 09:37:05","2025-05-10 09:37:19",14
"2025-05-10","부천점","km65htJ1","166382944","A21014017","2025-05-10 09:37:19","2025-05-10 09:37:48",28
"2025-05-10","부천점","km65htJ1","166382944","S0001239","2025-05-10 09:37:48","2025-05-10 09:37:57",9
"2025-05-10","부천점","km65htJ1","166382944","S0000990","2025-05-10 09:37:57","2025-05-10 09:38:07",10
"2025-05-10","부천점","km65htJ1","166382944","A21005903","2025-05-10 09:38:07","2025-05-10 09:38:22",14
"2025-05-10","부천점","km65htJ1","166382944","A21006107","2025-05-10 09:38:22","2025-05-10 09:38:31",9
"2025-05-10","부천점","km65htJ1","166382944","A21006107","2025-05-10 09:38:31","2025-05-10 09:39:04",32
"2025-05-10","부천점","ek7EouT6","166383026","A21016798","2025-05-10 12:03:28","2025-05-10 12:03:40",12
"2025-05-10","부천점","ek7EouT6","166383026","A21016389","2025-05-10 12:03:40","2025-05-10 12:04:20",39
"2025-05-10","부천점","ek7EouT6","166383026","A21014809","2025-05-10 12:04:20","2025-05-10 12:05:21",61
"2025-05-10","부천점","ek7EouT6","166383026","A21017724","2025-05-10 12:05:21","2025-05-10 12:05:58",37
"2025-05-10","부천점","ek7EouT6","166383026","S0002772","2025-05-10 12:05:58","2025-05-10 12:06:10",11
"2025-05-10","부천점","ek7EouT6","166383026","S0006726","2025-05-10 12:06:10","2025-05-10 12:06:33",23
"2025-05-10","부천점","ek7EouT6","166383026","A20000683","2025-05-10 12:06:33","2025-05-10 12:06:50",16
"2025-05-10","부천점","ek7EouT6","166383026","A20001124","2025-05-10 12:06:50","2025-05-10 12:07:02",12
"2025-05-10","부천점","ek7EouT6","166383026","A21021528","2025-05-10 12:07:02","2025-05-10 12:07:53",50
"2025-05-10","부천점","ek7EouT6","166383026","S0001849","2025-05-10 12:07:53","2025-05-10 12:08:11",18
"2025-05-10","부천점","BHoqohab","166383037","A21001791","2025-05-10 06:14:24","2025-05-10 06:14:41",16
"2025-05-10","부천점","BHoqohab","166383037","A13000002","2025-05-10 06:14:41","2025-05-10 06:15:16",34
"2025-05-10","부천점","BHoqohab","166383037","A17000291","2025-05-10 06:15:16","2025-05-10 06:15:25",9
"2025-05-10","부천점","BHoqohab","166383037","A38004027","2025-05-10 06:15:25","2025-05-10 06:15:35",10
"2025-05-10","부천점","vqdeN3Np","166383072","A21019127","2025-05-10 08:44:31","2025-05-10 08:44:45",14
"2025-05-10","부천점","vqdeN3Np","166383072","A20004202","2025-05-10 08:44:45","2025-05-10 08:45:19",33
"2025-05-10","부천점","vqdeN3Np","166383072","A20002396","2025-05-10 08:45:19","2025-05-10 08:46:04",45
"2025-05-10","부천점","oOs9exjt","166383120","A21014101","2025-05-10 07:51:32","2025-05-10 07:51:51",19
"2025-05-10","부천점","oOs9exjt","166383120","A21021930","2025-05-10 07:51:51","2025-05-10 07:52:24",32
"2025-05-10","부천점","oOs9exjt","166383120","A21005558","2025-05-10 07:52:24","2025-05-10 07:52:54",30
