"주문일","SKU코드","SKU명","판매량(Unit)"
"2025-03-27","A18000297","다슈 컬러 패스트 체인지 염색제 흑갈색",3
"2025-03-27","A18000298","다슈 컬러 패스트 체인지 염색제 흑색",7
"2025-03-27","A18000299","다슈 클래식 인크레더블 샤인 포마드 100g",3
"2025-03-27","A18000301","아이소이 아크니 닥터 1st 스피디 마스크 (20ml×1매)",8
"2025-03-27","A18000302","아이소이 블레미쉬 케어 마스크 (20ml×1매)",4
"2025-03-27","A18000303","아이소이 시카고 시카 SOS 마스크 (25ml×1매)",2
"2025-03-27","A18000317","트레비 라임 500ml",226
"2025-03-27","A18000326","에뛰드 피지쏙파우더_5G",1
"2025-03-27","A18000393","아리얼 스트레스 릴리빙 퓨어풀 클렌징 티슈 80매",29
"2025-03-27","A18000394","아리얼 스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드 30매",46
"2025-03-27","A18000395","아리얼 스트레스 릴리빙 데일리 픽 필링 패드 30매",14
"2025-03-27","A18000396","아리얼 스트레스 릴리빙 데일리 픽 토닝 패드 30매",10
"2025-03-27","A18000422","아이깨끗해 거품형 레몬 490ml 용기",18
"2025-03-27","A18000423","아이깨끗해 거품형 레몬 200ml 리필",19
"2025-03-27","A18000424","아이깨끗해 거품형 레몬 450ml 리필",33
"2025-03-27","A18000442","무궁화 우유 비누 3+1",9
"2025-03-27","A18000444","무궁화 라벤더 비누 4입",11
"2025-03-27","A18000525","밀크바오밥 퍼퓸 샴푸 화이트머스크 500ml",10
"2025-03-27","A18000526","밀크바오밥 퍼퓸 트리트먼트 화이트머스크 500ml",9
"2025-03-27","A18000527","밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml",9
"2025-03-27","A18000528","밀크바오밥 퍼퓸 바디로션 화이트머스크 250ml",2
"2025-03-27","A18000529","밀크바오밥 트래블키트 화이트머스크",1
"2025-03-27","A18000537","나드 여행용 헤어바디 5종 세트",3
"2025-03-27","A18000591","갸스비 수퍼하드 셋&킵스프레이 263ml",9
"2025-03-27","A18000592","갸스비 수퍼하드 셋&킵스프레이 핸디 67ml",6
"2025-03-27","A18000593","갸스비 스타일링 스프레이 매트 & 하드 200ml",2
"2025-03-27","A18000596","갸스비 파우더 오일크리어 페이퍼(회색) 70매×2",7
"2025-03-27","A18000633","나드 탈모증상완화 샴푸 아로마허브 1000ml",4
"2025-03-27","A18000634","나드 두피 딥클렌징 샴푸 1000ml",19
"2025-03-27","A18000729","다슈 솔루션 퍼퓸 데오 바디스프레이 (프레쉬 블루) 200ml",1
"2025-03-27","A18000737","바티스트 드라이 샴푸 오리지널 200ml",9
